name,gender,ethnicity,quality,call,city,jobs,experience,honors,volunteer,military,holes,school,email,computer,special,college,minimum,equal,wanted,requirements,reqexp,reqcomm,reqeduc,reqcomp,reqorg,industry
Greg,male,cauc,high,no,chicago,3,3,no,yes,no,no,no,yes,yes,yes,yes,none,no,manager,yes,no,no,yes,no,no,trade
Keisha,female,afam,low,no,chicago,4,6,no,no,no,yes,yes,no,yes,no,yes,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
Keisha,female,afam,high,no,chicago,3,4,no,yes,no,no,no,yes,yes,yes,no,none,no,manager,yes,no,no,yes,no,no,trade
Kristen,female,cauc,high,no,chicago,4,6,no,yes,no,yes,no,yes,yes,yes,no,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
Lakisha,female,afam,high,no,chicago,3,7,no,no,no,no,yes,yes,yes,no,no,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
Tamika,female,afam,low,no,chicago,3,2,no,no,no,no,no,no,yes,yes,yes,none,no,manager,yes,no,no,yes,no,no,trade
Allison,female,cauc,low,no,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Keisha,female,afam,low,no,chicago,4,6,no,no,no,no,yes,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Kristen,female,cauc,high,no,chicago,2,9,no,yes,no,yes,no,yes,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Latonya,female,afam,high,no,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Brad,male,cauc,low,no,chicago,2,4,no,no,no,no,no,no,no,no,no,none,no,manager,no,no,no,no,no,no,manufacturing
Jill,female,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
Keisha,female,afam,low,no,chicago,3,4,no,no,no,yes,no,no,yes,no,yes,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
Keisha,female,afam,low,no,chicago,3,3,no,no,no,no,no,no,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
Lakisha,female,afam,high,no,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
Laurie,female,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
Meredith,female,cauc,low,no,chicago,2,5,yes,no,no,yes,no,no,yes,no,yes,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
Tyrone,male,afam,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
Anne,female,cauc,high,no,chicago,4,7,no,yes,no,yes,no,yes,yes,no,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
Emily,female,cauc,low,no,chicago,4,6,no,no,no,no,yes,no,yes,no,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
Latoya,female,afam,low,no,chicago,4,5,no,no,no,yes,no,no,yes,yes,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
Tamika,female,afam,high,no,chicago,2,7,no,yes,no,yes,no,yes,yes,no,no,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
Brad,male,cauc,high,no,chicago,2,4,no,yes,no,yes,no,yes,yes,yes,no,none,no,manager,no,no,no,no,no,no,trade
Latoya,female,afam,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Kristen,female,cauc,low,no,chicago,3,4,no,no,no,yes,no,no,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
Latonya,female,afam,high,no,chicago,3,5,no,no,no,no,yes,yes,yes,yes,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
Latoya,female,afam,low,no,chicago,4,6,no,no,no,yes,yes,no,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
Laurie,female,cauc,high,no,chicago,3,6,no,yes,no,no,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
Allison,female,cauc,low,no,chicago,5,13,no,no,no,yes,yes,no,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
Ebony,female,afam,low,no,chicago,2,19,yes,no,no,yes,no,no,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
Jay,male,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,no,no,some,no,manager,yes,yes,no,no,no,no,trade
Keisha,female,afam,high,no,chicago,5,7,no,no,yes,yes,no,yes,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
Laurie,female,cauc,high,no,chicago,4,21,no,no,no,yes,yes,yes,yes,no,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
Tyrone,male,afam,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
Anne,female,cauc,low,no,chicago,4,4,no,no,no,yes,yes,no,yes,yes,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
Lakisha,female,afam,high,no,chicago,3,5,no,no,no,no,yes,yes,yes,yes,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
Latonya,female,afam,low,no,chicago,4,6,no,no,no,no,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
Meredith,female,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
Allison,female,cauc,high,no,chicago,2,5,no,yes,no,no,no,yes,yes,yes,no,none,no,manager,no,no,no,no,no,no,unknown
Carrie,female,cauc,low,no,chicago,2,6,no,no,no,no,no,no,no,no,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
Ebony,female,afam,high,no,chicago,3,6,no,yes,no,no,yes,yes,no,no,yes,none,no,manager,no,no,no,no,no,no,unknown
Kenya,female,afam,low,no,chicago,4,6,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
Lakisha,female,afam,high,no,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
Laurie,female,cauc,high,no,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,none,yes,secretary,no,no,no,no,no,no,manufacturing
Aisha,female,afam,high,no,chicago,4,8,no,yes,no,yes,no,yes,yes,no,yes,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
Anne,female,cauc,low,no,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
Brendan,male,cauc,high,no,chicago,2,5,no,yes,no,no,no,yes,no,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
Hakim,male,afam,high,no,chicago,3,5,no,yes,no,no,no,yes,yes,yes,no,none,yes,retail sales,no,no,no,no,no,no,trade
Latoya,female,afam,low,no,chicago,4,6,no,no,no,no,yes,no,yes,no,no,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
Laurie,female,cauc,low,no,chicago,2,5,no,no,no,no,no,no,no,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
Laurie,female,cauc,high,no,chicago,3,3,no,yes,yes,no,yes,yes,yes,no,no,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
Leroy,male,afam,low,no,chicago,3,4,no,no,no,no,no,no,yes,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
Anne,female,cauc,high,no,chicago,3,12,no,yes,no,no,yes,yes,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
Kenya,female,afam,high,no,chicago,3,11,no,yes,no,no,yes,yes,yes,no,no,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
Latonya,female,afam,low,no,chicago,2,9,yes,no,no,yes,no,no,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
Meredith,female,cauc,low,no,chicago,3,10,no,no,no,yes,no,no,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
Jamal,male,afam,low,no,chicago,4,5,no,no,no,yes,no,no,yes,yes,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
Matthew,male,cauc,high,no,chicago,4,4,no,yes,no,yes,no,yes,yes,yes,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
Neil,male,cauc,low,no,chicago,2,4,no,no,no,no,yes,no,yes,no,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
Tyrone,male,afam,high,no,chicago,5,3,no,yes,no,yes,yes,yes,yes,no,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
Leroy,male,afam,high,no,chicago,3,4,no,yes,no,no,no,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
Todd,male,cauc,high,yes,chicago,3,7,no,yes,no,yes,yes,yes,yes,no,no,some,no,manager,yes,yes,no,no,no,no,trade
Brad,male,cauc,low,no,chicago,3,3,no,no,no,no,no,no,yes,yes,no,none,no,manager,no,no,no,no,no,no,trade
Ebony,female,afam,low,no,chicago,2,3,no,no,no,no,yes,no,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
Jill,female,cauc,low,no,chicago,4,2,no,no,no,yes,no,no,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
Kristen,female,cauc,high,no,chicago,4,4,no,no,no,no,yes,yes,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
Lakisha,female,afam,high,no,chicago,2,4,yes,yes,no,yes,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Matthew,male,cauc,high,no,chicago,3,4,no,yes,yes,no,yes,yes,yes,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Tamika,female,afam,high,no,chicago,6,4,no,no,no,no,yes,yes,yes,yes,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
Tremayne,male,afam,low,no,chicago,3,2,no,no,no,no,no,no,yes,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Aisha,female,afam,high,no,chicago,4,10,no,yes,no,yes,no,yes,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Brett,male,cauc,high,yes,chicago,3,4,no,yes,no,yes,yes,yes,no,no,no,some,no,manager,yes,yes,no,no,no,no,trade
Darnell,male,afam,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
Emily,female,cauc,high,no,chicago,5,11,no,yes,no,yes,yes,yes,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Latonya,female,afam,low,no,chicago,2,3,no,no,no,no,yes,no,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Sarah,female,cauc,low,no,chicago,4,2,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Aisha,female,afam,high,no,chicago,4,7,no,no,no,no,yes,yes,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,trade
Anne,female,cauc,high,no,chicago,4,7,no,yes,no,yes,no,yes,yes,yes,yes,5,yes,supervisor,yes,yes,no,no,yes,no,trade
Jermaine,male,afam,high,no,chicago,3,4,no,yes,no,yes,yes,yes,no,no,yes,2,no,manager,yes,yes,no,no,no,no,trade
Neil,male,cauc,high,no,chicago,3,4,no,yes,no,no,yes,yes,no,yes,yes,2,no,manager,yes,yes,no,no,no,no,trade
Allison,female,cauc,high,no,chicago,4,4,no,yes,no,no,yes,yes,yes,no,yes,1,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
Anne,female,cauc,high,yes,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
Keisha,female,afam,high,no,chicago,5,6,no,yes,no,yes,yes,yes,yes,no,yes,1,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
Latonya,female,afam,high,yes,chicago,3,6,no,yes,no,yes,yes,yes,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
Latonya,female,afam,high,no,chicago,3,6,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Laurie,female,cauc,high,no,chicago,2,6,no,yes,yes,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
Jay,male,cauc,high,no,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,2,yes,manager,yes,yes,no,no,yes,no,trade
Lakisha,female,afam,high,no,chicago,2,4,no,yes,no,no,yes,yes,no,no,yes,2,yes,manager,yes,yes,no,no,yes,no,trade
Anne,female,cauc,low,no,chicago,3,23,no,yes,no,yes,yes,no,yes,no,no,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Keisha,female,afam,low,no,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Kristen,female,cauc,high,no,chicago,3,4,no,no,no,no,yes,yes,yes,no,no,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Lakisha,female,afam,high,no,chicago,3,4,yes,no,no,yes,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
Allison,female,cauc,high,no,chicago,4,5,no,yes,no,yes,no,no,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Ebony,female,afam,high,no,chicago,3,5,no,yes,yes,no,yes,yes,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Keisha,female,afam,low,no,chicago,4,5,no,no,no,no,yes,no,yes,yes,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Kristen,female,cauc,low,no,chicago,3,1,no,yes,no,yes,no,no,no,yes,no,some,yes,manager,yes,yes,no,no,no,no,trade
Lakisha,female,afam,low,no,chicago,2,5,no,no,no,no,no,no,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
Meredith,female,cauc,low,no,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Allison,female,cauc,low,no,chicago,3,5,no,no,no,no,no,no,no,no,yes,some,no,retail sales,yes,yes,no,no,no,no,finance/insurance/real estate
Kristen,female,cauc,high,no,chicago,4,8,no,no,no,no,yes,yes,yes,yes,yes,5,no,supervisor,yes,yes,no,no,yes,no,business/personal services
Lakisha,female,afam,low,no,chicago,3,4,no,no,no,no,no,no,no,yes,no,some,no,retail sales,yes,yes,no,no,no,no,finance/insurance/real estate
Lakisha,female,afam,high,no,chicago,4,9,no,yes,no,yes,no,yes,yes,yes,yes,5,no,supervisor,yes,yes,no,no,yes,no,business/personal services
Tanisha,female,afam,high,yes,chicago,1,9,yes,yes,no,no,yes,yes,yes,yes,yes,some,no,supervisor,yes,yes,yes,no,no,no,trade
Todd,male,cauc,high,yes,chicago,2,5,no,yes,no,yes,yes,yes,no,yes,no,some,no,supervisor,yes,yes,yes,no,no,no,trade
Aisha,female,afam,high,no,chicago,3,6,no,yes,no,yes,yes,yes,no,no,yes,none,yes,manager,no,no,no,no,no,no,trade
Anne,female,cauc,high,no,chicago,3,8,no,no,no,no,yes,yes,yes,no,no,8,yes,supervisor,yes,yes,no,no,yes,no,trade
Jill,female,cauc,low,no,chicago,4,9,no,no,no,yes,yes,no,yes,no,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
Latoya,female,afam,high,no,chicago,3,9,no,no,no,no,yes,yes,yes,yes,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
Neil,male,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,no,yes,none,yes,manager,no,no,no,no,no,no,trade
Tamika,female,afam,low,no,chicago,3,10,no,no,no,yes,no,no,yes,no,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
Anne,female,cauc,high,no,chicago,4,8,no,no,no,no,yes,yes,yes,no,yes,some,no,secretary,yes,yes,no,no,yes,no,unknown
Geoffrey,male,cauc,high,no,chicago,3,6,no,yes,no,yes,yes,yes,yes,no,no,2,no,manager,yes,yes,no,no,no,no,business/personal services
Latoya,female,afam,high,no,chicago,4,5,no,yes,no,yes,no,yes,yes,yes,yes,some,no,secretary,yes,yes,no,no,yes,no,unknown
Rasheed,male,afam,high,no,chicago,3,4,no,yes,no,no,yes,yes,no,yes,no,2,no,manager,yes,yes,no,no,no,no,business/personal services
Aisha,female,afam,low,no,chicago,4,6,no,no,no,no,yes,no,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
Allison,female,cauc,high,no,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
Carrie,female,cauc,low,no,chicago,2,6,no,no,no,no,no,no,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
Ebony,female,afam,low,no,chicago,2,4,no,no,no,yes,no,no,yes,yes,no,2,no,manager,yes,yes,no,no,no,no,trade
Kenya,female,afam,high,no,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
Kristen,female,cauc,low,no,chicago,3,4,no,no,no,no,no,no,no,yes,yes,2,no,manager,yes,yes,no,no,no,no,trade
Jermaine,male,afam,low,no,chicago,3,6,no,no,no,no,no,no,no,no,no,none,no,manager,no,no,no,no,no,no,trade
Laurie,female,cauc,low,no,chicago,3,4,no,no,no,no,no,no,no,yes,no,none,no,manager,no,no,no,no,no,no,trade
Allison,female,cauc,low,no,chicago,3,7,no,yes,no,yes,yes,no,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Kristen,female,cauc,high,no,chicago,3,9,no,no,no,no,yes,yes,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Lakisha,female,afam,low,no,chicago,2,7,yes,no,no,yes,no,no,yes,no,yes,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Latonya,female,afam,high,no,chicago,4,8,no,yes,no,yes,no,yes,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Brad,male,cauc,low,no,chicago,5,6,no,no,no,yes,no,no,yes,yes,yes,some,no,manager,yes,yes,no,no,no,no,trade
Leroy,male,afam,low,no,chicago,3,9,no,no,no,yes,no,no,yes,yes,yes,some,no,manager,yes,yes,no,no,no,no,trade
Emily,female,cauc,high,no,chicago,2,12,no,yes,no,yes,no,yes,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Latonya,female,afam,low,no,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Latoya,female,afam,high,no,chicago,3,5,yes,no,no,yes,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Laurie,female,cauc,low,no,chicago,4,7,no,no,no,yes,no,no,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
Aisha,female,afam,high,no,chicago,3,14,no,no,no,no,no,yes,no,no,yes,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
Allison,female,cauc,low,no,chicago,5,12,no,no,no,yes,yes,no,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
Ebony,female,afam,high,no,chicago,5,7,no,no,yes,yes,no,yes,yes,yes,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
Jermaine,male,afam,low,no,chicago,2,3,no,no,no,yes,no,no,no,yes,no,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
Kristen,female,cauc,low,no,chicago,3,1,no,no,no,no,no,no,no,yes,no,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
Latonya,female,afam,low,no,chicago,2,5,yes,no,no,yes,no,no,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
Laurie,female,cauc,high,no,chicago,4,21,no,no,no,yes,yes,yes,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
Laurie,female,cauc,high,no,chicago,3,2,no,no,no,yes,no,yes,yes,yes,yes,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
Anne,female,cauc,low,no,chicago,4,7,no,no,no,yes,no,no,yes,no,yes,none,no,office support,yes,no,no,no,yes,no,manufacturing
Brendan,male,cauc,high,yes,chicago,5,10,no,no,no,yes,no,yes,yes,no,yes,none,yes,other,no,no,no,no,no,no,business/personal services
Kareem,male,afam,high,no,chicago,5,10,no,no,no,yes,no,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,business/personal services
Keisha,female,afam,high,no,chicago,2,7,no,yes,no,yes,no,yes,yes,no,no,none,no,office support,yes,no,no,no,yes,no,manufacturing
Matthew,male,cauc,low,yes,chicago,2,6,no,no,yes,yes,no,no,yes,yes,yes,none,yes,other,no,no,no,no,no,no,business/personal services
Meredith,female,cauc,high,no,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,no,office support,yes,no,no,no,yes,no,manufacturing
Tanisha,female,afam,low,no,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,office support,yes,no,no,no,yes,no,manufacturing
Tanisha,female,afam,low,yes,chicago,3,11,no,no,no,yes,yes,no,yes,yes,no,none,yes,other,no,no,no,no,no,no,business/personal services
Aisha,female,afam,high,no,boston,4,14,no,yes,no,no,yes,no,yes,yes,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
Allison,female,cauc,low,no,boston,4,8,no,no,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
Allison,female,cauc,high,no,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,trade
Anne,female,cauc,low,no,boston,3,7,no,no,no,yes,no,no,no,no,yes,some,no,retail sales,yes,yes,no,no,no,no,unknown
Brendan,male,cauc,low,no,boston,3,8,yes,no,no,yes,no,no,no,no,no,some,no,retail sales,yes,yes,no,no,no,no,trade
Brett,male,cauc,low,no,boston,5,26,no,no,no,no,no,no,no,no,yes,some,no,manager,yes,yes,no,no,no,no,health/education/social services
Brett,male,cauc,high,no,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,yes,no,no,manufacturing
Brett,male,cauc,high,no,boston,2,6,no,yes,no,no,yes,yes,yes,yes,yes,some,no,retail sales,yes,yes,no,no,no,no,trade
Ebony,female,afam,low,no,boston,4,6,no,no,no,no,yes,no,yes,no,yes,some,no,retail sales,yes,yes,no,no,no,no,unknown
Geoffrey,male,cauc,low,no,boston,5,26,no,no,no,no,no,no,no,no,yes,3,yes,manager,yes,yes,no,no,no,no,trade
Jay,male,cauc,high,no,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
Jill,female,cauc,high,no,boston,6,18,no,yes,no,no,no,no,yes,no,yes,2,yes,manager,yes,yes,no,yes,no,no,health/education/social services
Keisha,female,afam,low,no,boston,4,8,no,no,no,no,no,no,yes,no,yes,2,yes,manager,yes,yes,no,yes,no,no,health/education/social services
Keisha,female,afam,high,no,boston,4,10,yes,no,yes,yes,no,yes,yes,no,yes,some,no,retail sales,yes,yes,no,no,no,no,trade
Kenya,female,afam,low,no,boston,4,8,no,no,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,trade
Kenya,female,afam,high,no,boston,4,14,no,yes,no,no,yes,no,yes,yes,yes,some,no,manager,yes,yes,no,no,no,no,health/education/social services
Lakisha,female,afam,low,no,boston,5,26,no,no,no,no,no,no,no,no,yes,3,yes,manager,yes,yes,no,yes,no,no,manufacturing
Latoya,female,afam,low,no,boston,4,8,no,no,no,no,no,no,yes,no,yes,some,no,manager,yes,yes,no,no,no,no,health/education/social services
Latoya,female,afam,high,no,boston,4,14,no,yes,no,no,yes,no,yes,yes,yes,3,yes,manager,yes,yes,no,no,no,no,trade
